V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40
0,0,0.555955793778412,0,0,0,0,0,0,0,0,0,0.625127142714337,0,0,0,0,0.896410621050745,0,0,0.821559561416507,0,0,0,0,0,0,0,0,0.543100362364203,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.372125534596853,0,0,0,0,0,0,0.198868929338641,0,0,0,0,0,0,0,0.838996976939961,0,0.441972655500285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.815660291351378,0,0,0,0,0,0,0,0,0,0,0,0.775008389772847,0,0,0,0,0
0,0,0,0,0.604387268912979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.803985014697537,0,0,0,0,0,0,0,0.701943554822356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.848667894024402,0,0,0,0,0,0,0,0.647274478082545,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.223308529518545,0.451084003550932,0,0.622973560006358,0,0,0,0,0,0,0,0,0,0,0,0,0.748820983385667,0,0,0,0,0,0.560889292880893,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.562323568155989,0,0.11565170402173,0,0,0,0,0,0.165108838072047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.636452150018886,0,0,0,0,0,0,0.511300460528582,0,0,0,0,0,0,0,0,0,0,0.733697911771014,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.320134463417344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.931933757825755,0,0,0,0,0,0,0,0,0.894877502974123
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.900767295015976,0,0,0,0,0,0,0,0,0,0,0,0.524765411554836,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.472929921350442,0,0,0,0,0,0,0,0,0,0,0,0
